llm,prompt_id,word_count,roberta_score,lexical_richness,syntactic_complexity,novelty,imagery,narrative_dynamics,rubric_composite
ChatGPT,01,500,6.0,6.35,3.24,7.37,1.52,1.36,4.17
ChatGPT,02,500,5.05,6.02,3.98,7.19,1.17,2.18,4.27
ChatGPT,03,500,5.09,5.9,3.71,6.93,1.02,2.02,4.08
ChatGPT,04,500,4.33,5.37,3.26,6.63,1.0,2.34,3.89
ChatGPT,05,500,4.65,5.45,4.0,6.62,1.0,1.54,3.85
ChatGPT,06,500,5.24,5.81,3.59,6.88,1.01,1.77,3.98
ChatGPT,07,500,4.69,5.3,3.83,6.45,0.67,1.54,3.69
ChatGPT,08,500,4.16,4.82,5.1,5.84,0.33,3.31,3.92
ChatGPT,09,500,5.72,6.41,4.77,7.42,0.84,3.15,4.65
ChatGPT,10,500,5.55,6.49,3.71,7.47,0.68,2.46,4.35
ChatGPT,11,500,5.65,6.46,4.56,7.36,0.68,2.75,4.5
ChatGPT,12,500,5.92,7.2,4.92,8.1,0.0,3.39,4.88
ChatGPT,13,500,5.35,5.74,4.88,6.76,0.34,2.32,4.1
ChatGPT,14,500,6.22,5.86,3.83,6.99,1.52,1.97,4.19
ChatGPT,15,500,4.64,6.57,3.42,7.63,0.34,1.92,4.19
ChatGPT,16,500,3.83,5.62,2.94,6.84,0.5,1.34,3.64
ChatGPT,17,500,3.62,5.32,4.28,6.24,0.33,1.3,3.59
ChatGPT,18,500,5.31,5.15,3.59,6.11,3.21,1.76,4.09
ChatGPT,19,500,3.09,4.77,4.47,5.92,0.5,1.26,3.46
ChatGPT,20,500,4.7,5.3,3.28,6.2,2.01,1.81,3.87
Claude,01,500,4.44,4.81,3.24,6.04,1.2,0.58,3.32
Claude,02,500,4.84,5.72,3.49,6.9,0.86,2.4,4.04
Claude,03,500,3.01,4.21,3.3,5.37,1.23,1.0,3.13
Claude,04,500,4.2,4.93,3.28,6.09,1.68,1.56,3.65
Claude,05,500,3.1,4.41,3.66,5.56,0.84,1.87,3.36
Claude,06,500,3.54,5.05,2.95,6.2,0.17,1.62,3.36
Claude,07,500,2.56,3.75,3.01,5.07,0.85,0.97,2.83
Claude,08,500,4.05,4.73,4.26,5.75,0.34,2.95,3.68
Claude,09,500,3.12,4.93,3.47,5.88,0.34,0.93,3.23
Claude,10,500,4.19,4.46,3.68,5.69,0.69,0.97,3.2
Claude,11,500,3.97,4.79,3.73,6.02,0.88,0.89,3.37
Claude,12,500,4.77,5.12,4.55,6.3,0.17,1.85,3.69
Claude,13,500,2.74,4.44,3.4,5.46,0.0,1.26,3.01
Claude,14,500,4.38,4.55,4.21,5.96,0.51,1.04,3.34
Claude,15,500,4.24,5.22,3.06,6.4,0.34,2.08,3.59
Claude,16,500,2.88,4.29,3.32,5.66,0.17,1.22,3.05
Claude,17,500,4.12,4.68,4.0,5.73,1.02,1.23,3.42
Claude,18,500,3.93,4.33,2.99,5.57,1.72,0.9,3.23
Claude,19,500,2.78,3.59,3.22,4.88,1.19,1.4,2.94
Claude,20,500,3.02,3.7,3.21,4.91,1.53,1.37,3.03
Gemini,01,495,6.39,6.41,4.09,7.37,1.71,2.11,4.5
Gemini,02,493,6.07,5.78,3.4,6.75,1.19,1.82,3.95
Gemini,03,461,5.97,5.69,3.84,6.78,2.37,1.73,4.23
Gemini,04,500,5.38,5.05,4.06,6.06,3.49,2.58,4.35
Gemini,05,500,6.83,5.52,4.36,6.59,2.51,2.71,4.45
Gemini,06,500,5.89,5.61,4.12,6.6,1.68,2.48,4.22
Gemini,07,500,5.39,5.02,4.45,6.09,1.0,2.24,3.84
Gemini,08,500,6.4,5.53,4.61,6.44,0.85,3.32,4.24
Gemini,09,487,5.78,5.52,4.48,6.35,2.42,2.55,4.36
Gemini,10,500,5.18,4.97,4.11,6.05,1.02,1.65,3.66
Gemini,11,500,4.92,5.08,4.8,6.26,0.34,2.38,3.84
Gemini,12,500,6.16,5.63,5.22,6.67,0.51,4.04,4.49
Gemini,13,500,4.5,5.43,3.82,6.31,0.34,2.21,3.75
Gemini,14,487,4.66,5.35,4.13,6.42,1.05,2.11,3.92
Gemini,15,500,5.44,4.83,3.93,5.95,0.67,2.61,3.7
Gemini,16,500,5.87,6.12,4.14,7.1,1.19,3.02,4.46
Gemini,17,500,6.38,5.02,5.12,6.0,3.15,1.98,4.3
Gemini,18,500,4.91,4.78,3.31,5.85,2.2,1.72,3.7
Gemini,19,500,5.03,4.75,4.11,5.87,1.34,2.08,3.72
Gemini,20,500,5.47,4.78,3.58,5.81,3.15,1.84,3.94
Perplexity,01,500,5.03,5.4,3.74,6.45,1.34,1.29,3.78
Perplexity,02,500,4.24,5.25,3.8,6.26,0.17,2.33,3.69
Perplexity,03,500,3.3,4.86,4.11,5.9,1.19,2.44,3.79
